GlobalTracer.FirstPowerUp_Info: Sat Mar 24 09:12:02 PDT 2018: ***** Starting autonomous *****
GlobalTracer.FirstPowerUp_Info: WASNO_Practice_  4 (Blue2) [FMSConnected=true]
GlobalTracer.CmdAutoSwitch_Info: alliance=Blue, gameSpecificMsg=LLL, delay=0.000, fwdDistance=60, startPosition=-102.0, flipInFlight=true
GlobalTracer.Vision_Info: Pixy is enabled!
GlobalTracer.Robot_Info: [0.561]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.7/   0.0,volts=12.5(12.1)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.664s)

GlobalTracer.Robot_Info: [0.661] DRIVE_FORWARD_DISTANCE: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.5(12.1)
GlobalTracer.printPidInfo_Info: [0.661] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.5(12.1)
GlobalTracer.printPidInfo_Info: [0.661] encoderYPidCtrl: Target=-129.0, Input=   0.0, Error=-129.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.600/0.600), Volt=12.4(12.1)
GlobalTracer.printPidInfo_Info: [0.661] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=12.4(12.1)
GlobalTracer.startCompetition_Warn: AUTO_MODE takes too long (0.114s)

GlobalTracer.SonarTrigger_Info: [0.794] prevZone=-1, currZone=1, distance=148.90
GlobalTracer.printPidInfo_Info: [0.794] encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.1(10.5)
GlobalTracer.printPidInfo_Info: [0.794] encoderYPidCtrl: Target=-129.0, Input=   0.0, Error=-129.0, PIDTerms=-3.870/ 0.000/ 0.000/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.5)
GlobalTracer.printPidInfo_Info: [0.794] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.1(10.5)
GlobalTracer.printPidInfo_Info: [0.850] encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.002/ 0.000/ 0.003/ 0.000, Output= 0.005(-0.700/0.700), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.850] encoderYPidCtrl: Target=-129.0, Input=  -0.2, Error=-128.8, PIDTerms=-3.863/ 0.000/ 0.003/-0.000, Output=-0.600(-0.600/0.600), Volt=10.1(10.1)
GlobalTracer.printPidInfo_Info: [0.850] gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.700/0.700), Volt=10.0(10.1)
GlobalTracer.printPidInfo_Info: [0.926] encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.055/ 0.000/ 0.063/ 0.000, Output= 0.118(-0.700/0.700), Volt=9.5(9.5)
GlobalTracer.printPidInfo_Info: [0.926] encoderYPidCtrl: Target=-129.0, Input=  -1.5, Error=-127.5, PIDTerms=-3.826/ 0.000/ 0.015/-0.000, Output=-0.600(-0.600/0.600), Volt=9.4(9.5)
GlobalTracer.printPidInfo_Info: [0.926] gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.003/ 0.000/ 0.004/ 0.000, Output= 0.007(-0.700/0.700), Volt=9.3(9.5)
GlobalTracer.printPidInfo_Info: [1.024] encoderXPidCtrl: Target=   0.0, Input=  -0.7, Error=   0.7, PIDTerms= 0.099/ 0.000/ 0.055/ 0.000, Output= 0.154(-0.700/0.700), Volt=9.3(9.3)
GlobalTracer.printPidInfo_Info: [1.024] encoderYPidCtrl: Target=-129.0, Input=  -2.1, Error=-126.9, PIDTerms=-3.806/ 0.000/ 0.008/-0.000, Output=-0.600(-0.600/0.600), Volt=9.3(9.3)
GlobalTracer.printPidInfo_Info: [1.024] gyroTurnPidCtrl: Target=   0.0, Input=  -0.5, Error=   0.5, PIDTerms= 0.006/ 0.000/ 0.002/ 0.000, Output= 0.008(-0.700/0.700), Volt=9.2(9.3)
